year,topic_0,topic_1
2015,1.0,1.1279199258474427e-308
2016,1.0,9.38787945519634e-309
2017,1.109599496329107e-308,1.0
2018,9.030427492103444e-309,1.0
2019,8.748156490893877e-309,1.0
2020,1.0,7.709466892460984e-309
2021,1.0,8.52824670462797e-309
2022,1.0,6.68701719770796e-309
2023,8.23250783352046e-309,1.0
2024,1.0,6.88166199111844e-309
2025,7.688772818077106e-309,1.0
