firm,year,positive,negative,compound_sentiment,total_tokens,Equity,Fixed Income,Real Estate,Commodities,Alternatives,Infrastructure,Private Equity,Hedge Funds,Cash
AQR,2020,72.0,171.0,-0.4074074074074074,1.0,-0.1685984469950199,-0.2920482810586691,0.008236270397901535,-0.2515887264162302,,,0.039502330124378204,,-0.10429618880152702
AQR,2021,82.0,163.0,-0.3306122448979592,1.0,-0.0727619044482708,-0.08317138999700546,0.007415324449539185,-0.09196178615093231,,,0.01164446771144867,,-0.3628818318247795
AQR,2022,72.0,148.0,-0.34545454545454546,1.0,0.009071454405784607,-0.00764726847410202,0.15427468344569206,0.1919123064726591,0.09088615048676729,,0.10886864084750414,,-0.018034882843494415
AQR,2023,102.0,179.0,-0.27402135231316727,1.0,0.0025878846645355225,-0.030764833092689514,-0.689542580395937,-0.6086641773581505,-0.28723177313804626,,-0.1493549756705761,,-0.10906147211790085
AQR,2024,88.0,176.0,-0.3333333333333333,1.0,-0.08531689271330833,-0.010644670575857162,0.025918079540133476,-0.5180552788078785,0.7355318320915103,,0.05235038325190544,,-0.04398827254772186
AQR,2025,96.0,140.0,-0.1864406779661017,1.0,0.009317900985479355,-0.018415872007608414,0.05369458347558975,-0.45073181204497814,0.19381265994161367,,0.015538152307271957,,0.07338083535432816
Amundi,2020,296.0,541.0,-0.2927120669056153,1.0,0.27939895540475845,0.263370331376791,0.9060883522033691,-0.8371793292462826,0.8767269290983677,-0.8391644731163979,0.9323588293045759,0.8369292709976435,-0.6641556546092033
Amundi,2021,306.0,432.0,-0.17073170731707318,1.0,0.2300107479095459,0.24037500843405724,-0.5627959817647934,0.41428690403699875,0.046117521822452545,0.6868327390402555,-0.7726986072957516,,0.7514469809830189
Amundi,2022,200.0,364.0,-0.2907801418439716,1.0,0.38162645511329174,0.1672913245856762,0.6847901390865445,0.522575780749321,,0.725264148786664,0.9282289491966367,0.914154352620244,0.5776640027761459
Amundi,2023,224.0,463.0,-0.34788937409024745,1.0,0.08333189785480499,0.19149155169725418,0.13442658726125956,-0.06464023888111115,,0.7689008861780167,0.34257442876696587,0.09702369570732117,0.10759476944804192
Amundi,2024,215.0,422.0,-0.3249607535321821,1.0,0.20582116767764091,0.22208720818161964,-0.8375200554728508,0.24062495678663254,,0.2708578258752823,-0.872062161564827,0.14933092892169952,0.2743544206023216
Amundi,2025,307.0,471.0,-0.21079691516709512,1.0,0.1440000832080841,0.37390248477458954,0.9378276038914919,0.547189112752676,,0.482294537127018,0.9002066673710942,0.08151503372937441,0.9027060149237514
BMO,2020,311.0,347.0,-0.0547112462006079,1.0,0.22056464105844498,-0.9503043312579393,-0.14804574847221375,0.06755229830741882,,-0.01376703567802906,,,0.2377966046333313
BMO,2021,48.0,49.0,-0.010309278350515464,1.0,0.8355212938040495,0.6491067111492157,,-0.00036636553704738617,-0.6348744202405214,0.8639032058417797,,,
BMO,2022,18.0,42.0,-0.4,1.0,-0.5242798663675785,0.03523203358054161,,,0.14707540720701218,,,,
BMO,2023,89.0,122.0,-0.15639810426540285,1.0,-0.4445246160030365,0.2118561863899231,0.3716893792152405,-0.00036636553704738617,0.9183332864195108,,,,
BMO,2024,108.0,127.0,-0.08085106382978724,1.0,0.3763413578271866,0.5152393281459808,,-0.00036636553704738617,,,,,-0.2903459966182709
BMO,2025,76.0,77.0,-0.006535947712418301,1.0,0.06633322313427925,0.10926257818937302,,0.9327834062278271,,0.0004900265485048294,,,0.07492750696837902
BNYM,2021,49.0,88.0,-0.2846715328467153,1.0,-0.5603467673063278,0.0018572211265563965,-0.06856933236122131,-0.017671871930360794,0.07691389694809914,-0.023399285972118378,0.07064940594136715,0.036644525825977325,-0.004277672618627548
BNYM,2022,48.0,95.0,-0.32867132867132864,1.0,0.6206435114145279,-0.007975056767463684,-0.09034159034490585,-0.09257252514362335,0.5453981645405293,-0.01885952427983284,0.29298170004040003,0.01431456208229065,-0.027707558125257492
BNYM,2023,71.0,168.0,-0.40585774058577406,1.0,-0.794505450874567,0.13891227915883064,-0.11371417343616486,-0.019081883132457733,0.14594990946352482,-0.010787047445774078,-0.0740334503352642,-0.030818503350019455,0.00974399782717228
BNYM,2024,150.0,116.0,0.12781954887218044,1.0,0.23678967356681824,0.09338358044624329,-0.27309007197618484,-0.15188361331820488,0.03425421565771103,-0.25972958467900753,-0.21720076352357864,0.004390746355056763,0.11809024214744568
BNYM,2025,116.0,136.0,-0.07936507936507936,1.0,0.2768983244895935,0.5194460321217775,-0.9364928305149078,,,,0.6423565335571766,,0.38616928458213806
BlackRock,2020,18.0,26.0,-0.18181818181818182,1.0,,,,,,,,,
BlackRock,2021,123.0,186.0,-0.20388349514563106,1.0,0.2565777078270912,-0.009359434247016907,-0.025984058156609535,0.015542149543762207,,0.431610569357872,,,0.24917751550674438
